City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saskylakh,12,RU,1517957575,0,71.97,114.09,-44.91,8.77
1,sambava,76,MG,1517957575,100,-14.27,50.17,77.27,5.41
2,wolgast,20,DE,1517957575,100,54.05,13.77,24.62,4.18
3,new norfolk,0,AU,1517954400,52,-42.78,147.06,69.8,8.05
4,touros,68,BR,1517957576,87,-5.2,-35.46,79.74,9.55
5,tuktoyaktuk,90,CA,1517954400,84,69.44,-133.03,-2.21,17.22
6,binga,44,ZW,1517957576,99,-17.62,27.34,74.39,5.64
7,atuona,36,PF,1517957577,100,-9.8,-139.03,81.36,18.16
8,ribeira grande,20,PT,1517957577,100,38.52,-28.7,59.04,13.47
9,puerto ayora,20,EC,1517954400,62,-0.74,-90.35,86.0,20.8
10,punta arenas,90,CL,1517954400,87,-53.16,-70.91,50.0,18.34
11,salalah,0,OM,1517957578,100,17.01,54.1,69.12,5.19
12,ushuaia,40,AR,1517954400,41,-54.81,-68.31,60.8,13.87
13,fare,100,PF,1517957578,100,-16.7,-151.02,81.41,15.03
14,show low,20,US,1517956500,20,34.25,-110.03,55.4,23.04
15,ponta do sol,20,BR,1517957579,94,-20.63,-46.0,64.04,0.94
16,mae hong son,0,MM,1517957579,91,19.3,97.96,54.27,1.72
17,raisinghnagar,0,IN,1517957579,82,29.54,73.45,47.61,2.62
18,hauterive,90,FR,1517956200,93,46.09,3.45,32.0,4.7
19,hasaki,20,JP,1517954400,68,35.73,140.83,26.6,2.24
20,qaanaaq,0,GL,1517957580,73,77.48,-69.36,-25.34,11.23
21,kapaa,40,US,1517954160,78,22.08,-159.32,75.2,6.93
22,rikitea,0,PF,1517957581,100,-23.12,-134.97,79.34,10.78
23,catuday,80,PH,1517957582,100,16.29,119.81,72.5,3.18
24,ilulissat,56,GL,1517953800,85,69.22,-51.1,21.2,23.04
25,suarez,8,CO,1517957582,79,4.05,-74.83,74.3,0.94
26,mataura,88,NZ,1517957583,90,-46.19,168.86,58.59,10.0
27,barra patuca,0,HN,1517957546,85,15.8,-84.28,79.47,12.68
28,saldanha,0,PT,1517957583,89,41.42,-6.55,21.51,3.51
29,albany,75,US,1517954040,58,42.65,-73.75,28.4,9.17
30,rocha,0,UY,1517957584,51,-34.48,-54.34,78.57,12.57
31,melville,1,CA,1517954400,70,50.93,-102.81,1.4,12.75
